date_time,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya
2017-08-14,68.29166666666667,68.54166666666667,87.08333333333333,65.41666666666667,74.79166666666667,75.875,17.708333333333332,42.458333333333336,45.791666666666664,43.416666666666664,61.125,73.41666666666667,65.5,82.20833333333333,86.75,79.91666666666667,67.58333333333333,88.70833333333333,62.041666666666664,84.875,57.208333333333336,84.625,84.5,68.33333333333333,73.41666666666667,72.45833333333333,87.0,65.95833333333333,68.0,71.625,69.70833333333333,68.66666666666667,35.416666666666664,78.45833333333333,78.45833333333333
2017-08-15,74.82608695652173,65.78260869565217,82.04347826086956,64.78260869565217,76.17391304347827,78.69565217391305,15.304347826086957,28.391304347826086,51.21739130434783,51.608695652173914,63.26086956521739,60.95652173913044,63.56521739130435,79.26086956521739,75.8695652173913,81.34782608695652,71.95652173913044,83.69565217391305,76.17391304347827,85.73913043478261,71.6086956521739,78.04347826086956,85.26086956521739,68.21739130434783,75.65217391304348,79.17391304347827,92.78260869565217,86.17391304347827,75.69565217391305,80.3913043478261,69.04347826086956,67.1304347826087,40.69565217391305,75.47826086956522,75.47826086956522
2017-08-16,76.875,59.5,81.20833333333333,59.208333333333336,68.29166666666667,71.25,19.458333333333332,20.208333333333332,29.875,62.541666666666664,62.208333333333336,58.291666666666664,68.33333333333333,79.70833333333333,80.875,86.20833333333333,73.625,82.04166666666667,79.375,83.58333333333333,61.5,74.41666666666667,75.66666666666667,69.45833333333333,69.16666666666667,75.08333333333333,84.29166666666667,74.125,65.41666666666667,74.625,72.45833333333333,68.25,49.791666666666664,81.83333333333333,81.83333333333333
2017-08-17,75.5,64.70833333333333,74.29166666666667,68.625,70.41666666666667,73.91666666666667,19.583333333333332,23.041666666666668,30.833333333333332,53.708333333333336,62.416666666666664,66.5,65.95833333333333,80.08333333333333,85.45833333333333,87.91666666666667,74.54166666666667,80.91666666666667,81.0,85.125,75.04166666666667,79.25,74.16666666666667,63.916666666666664,71.45833333333333,77.83333333333333,79.125,58.166666666666664,60.708333333333336,58.041666666666664,68.79166666666667,62.916666666666664,45.083333333333336,70.625,70.625
2017-08-18,74.625,64.16666666666667,81.04166666666667,71.5,72.79166666666667,78.16666666666667,17.791666666666668,20.0,30.041666666666668,44.666666666666664,62.541666666666664,69.79166666666667,67.41666666666667,67.5,85.66666666666667,76.125,65.33333333333333,74.95833333333333,79.08333333333333,81.375,70.79166666666667,84.70833333333333,76.04166666666667,63.083333333333336,81.08333333333333,86.29166666666667,85.16666666666667,87.25,79.08333333333333,79.95833333333333,60.375,58.375,44.291666666666664,74.29166666666667,74.29166666666667
2017-08-19,72.75,64.20833333333333,85.04166666666667,65.25,72.20833333333333,77.95833333333333,17.208333333333332,23.5,30.708333333333332,40.083333333333336,61.5,64.54166666666667,68.66666666666667,72.04166666666667,79.16666666666667,75.70833333333333,60.041666666666664,76.45833333333333,75.0,76.79166666666667,65.875,83.04166666666667,75.16666666666667,67.875,76.08333333333333,76.125,81.16666666666667,73.45833333333333,83.83333333333333,91.54166666666667,54.583333333333336,55.708333333333336,40.375,70.16666666666667,70.16666666666667
2017-08-20,72.75,61.291666666666664,80.91666666666667,62.916666666666664,68.79166666666667,72.58333333333333,19.625,29.208333333333332,43.041666666666664,29.625,60.916666666666664,51.875,68.125,71.375,76.25,82.375,66.29166666666667,73.5,75.54166666666667,74.66666666666667,60.5,81.20833333333333,70.875,76.04166666666667,80.79166666666667,75.375,73.95833333333333,60.708333333333336,71.29166666666667,72.54166666666667,60.25,57.875,36.958333333333336,75.375,75.375
2017-08-21,77.54166666666667,65.5,82.20833333333333,70.04166666666667,69.91666666666667,73.375,28.25,29.166666666666668,76.79166666666667,39.166666666666664,63.583333333333336,58.0,70.70833333333333,77.0,80.0,78.70833333333333,73.70833333333333,73.20833333333333,81.70833333333333,73.5,63.0,85.125,67.41666666666667,67.66666666666667,73.16666666666667,79.54166666666667,82.04166666666667,64.375,76.20833333333333,67.95833333333333,68.375,63.916666666666664,45.0,75.54166666666667,75.54166666666667
2017-08-22,72.58333333333333,57.291666666666664,81.08333333333333,58.041666666666664,71.70833333333333,78.16666666666667,32.0,29.5,60.333333333333336,49.25,64.375,57.208333333333336,66.125,84.70833333333333,70.5,83.625,75.20833333333333,74.75,86.70833333333333,81.625,70.125,81.04166666666667,76.625,76.75,81.875,84.33333333333333,82.125,73.375,82.16666666666667,77.58333333333333,67.41666666666667,63.708333333333336,43.833333333333336,72.54166666666667,72.54166666666667
2017-08-23,70.41666666666667,69.66666666666667,88.375,73.29166666666667,75.91666666666667,83.54166666666667,22.416666666666668,28.333333333333332,56.75,43.791666666666664,60.666666666666664,60.208333333333336,69.29166666666667,65.20833333333333,61.916666666666664,70.33333333333333,57.791666666666664,76.375,74.83333333333333,79.625,57.708333333333336,77.91666666666667,77.16666666666667,79.20833333333333,73.25,67.75,70.91666666666667,66.33333333333333,74.83333333333333,74.66666666666667,68.04166666666667,62.791666666666664,40.375,75.04166666666667,75.04166666666667
